area,product_id,quantity,hour,day_of_week
Central,987911,5,20,Sunday
Central,226632,3,20,Sunday
East,741835,2,23,Monday
East,357966,2,23,Monday
East,970718,4,23,Monday
Central,657152,2,8,Sunday
Central,973291,1,8,Sunday
South,404100,3,1,Monday
South,417009,2,1,Monday
West,103736,5,3,Friday
West,394174,4,3,Friday
South,351367,1,13,Thursday
South,463028,3,13,Thursday
South,204220,2,13,Thursday
East,283621,2,18,Sunday
West,130969,2,1,Friday
West,987911,2,1,Friday
West,788175,1,1,Friday
Central,741835,2,9,Wednesday
Central,700732,2,9,Wednesday
Central,788175,1,6,Sunday
South,912354,1,21,Tuesday
South,589456,4,21,Tuesday
South,564853,2,12,Tuesday
East,480254,2,5,Thursday
East,314921,4,5,Thursday
South,712158,2,8,Monday
North,462550,3,16,Sunday
North,424718,2,2,Friday
North,327670,2,2,Friday
North,167392,3,2,Friday
East,593117,5,0,Sunday
East,526783,1,0,Sunday
East,885901,3,0,Sunday
East,263679,4,10,Sunday
East,799380,2,16,Friday
East,559463,5,16,Friday
South,523098,2,20,Monday
South,166402,5,20,Monday
North,122121,3,3,Wednesday
South,331204,1,4,Saturday
South,404100,2,4,Saturday
Central,657152,2,12,Sunday
Central,327670,3,12,Sunday
North,179507,5,13,Monday
North,528608,3,13,Monday
North,155861,4,13,Monday
West,123191,2,20,Monday
West,657579,4,9,Sunday
West,160732,1,9,Sunday
North,167392,1,11,Monday
North,682453,5,11,Monday
North,667650,5,11,Monday
West,632686,4,17,Tuesday
West,932952,2,17,Tuesday
West,714157,2,17,Tuesday
North,244547,2,0,Tuesday
North,727865,1,0,Tuesday
East,240196,2,20,Thursday
East,283621,3,20,Thursday
East,542696,1,20,Thursday
East,283621,1,8,Sunday
East,616207,1,8,Sunday
East,351367,3,8,Sunday
South,616207,4,13,Monday
South,451956,2,13,Monday
South,437577,4,13,Monday
South,575961,2,21,Saturday
Central,580730,2,14,Saturday
Central,513418,2,14,Saturday
Central,179507,4,14,Saturday
Central,714157,1,10,Sunday
Central,811207,2,10,Sunday
Central,155861,1,10,Sunday
Central,591797,1,12,Thursday
Central,131542,2,12,Thursday
Central,467525,1,12,Thursday
Central,467525,1,11,Monday
Central,713451,4,11,Monday
Central,855760,1,11,Monday
North,211520,5,18,Thursday
North,874812,4,18,Thursday
East,143527,3,22,Saturday
South,641411,1,19,Tuesday
South,891289,2,19,Tuesday
South,926868,4,19,Tuesday
South,740474,2,14,Monday
East,331204,2,21,Tuesday
East,664634,2,21,Tuesday
East,634777,1,21,Tuesday
North,257146,3,19,Saturday
North,144818,1,19,Saturday
North,572994,2,19,Saturday
Central,858212,2,23,Sunday
East,523098,2,12,Wednesday
South,328679,3,4,Friday
South,204293,1,4,Friday
South,876627,4,6,Wednesday
North,149774,1,14,Wednesday
North,846554,2,2,Monday
West,844672,1,22,Thursday
West,784425,1,22,Thursday
West,657152,1,22,Thursday
West,572994,3,20,Friday
East,143527,2,10,Friday
East,657152,2,10,Friday
East,559463,1,10,Friday
Central,981997,3,15,Monday
West,846554,1,13,Tuesday
West,564853,4,13,Tuesday
West,713451,4,13,Tuesday
North,912354,2,10,Monday
Central,542696,1,18,Saturday
Central,144818,1,18,Saturday
Central,323016,1,8,Tuesday
Central,784362,4,8,Tuesday
Central,641411,1,8,Tuesday
East,203454,2,7,Sunday
East,417528,1,7,Sunday
East,625107,4,7,Sunday
North,404100,1,3,Friday
North,543513,2,3,Friday
West,523098,2,9,Wednesday
West,447726,5,9,Wednesday
West,634777,1,9,Wednesday
East,716660,3,21,Tuesday
East,973291,3,21,Tuesday
South,190530,2,20,Sunday
South,876627,1,20,Sunday
South,858212,4,20,Sunday
West,177733,1,2,Thursday
West,716660,4,2,Thursday
West,667650,2,14,Saturday
North,367952,1,13,Tuesday
North,543513,1,13,Tuesday
South,556364,1,8,Wednesday
South,644730,4,8,Wednesday
West,973291,1,5,Friday
West,357966,2,5,Friday
West,782729,4,8,Tuesday
West,489295,2,8,Tuesday
West,855760,3,8,Tuesday
East,283803,4,11,Wednesday
Central,621860,2,4,Tuesday
Central,784362,4,4,Tuesday
North,226632,2,15,Sunday
South,621298,4,8,Tuesday
South,556364,1,8,Tuesday
South,634777,2,8,Tuesday
North,130969,2,14,Monday
North,331204,2,14,Monday
West,297266,1,3,Sunday
East,511087,1,15,Friday
East,580730,1,19,Friday
East,158033,2,19,Friday
East,647654,4,19,Friday
Central,830396,2,2,Saturday
Central,766294,3,2,Saturday
East,885901,1,18,Sunday
East,874812,1,18,Sunday
East,127005,5,18,Sunday
North,588836,3,10,Monday
North,858212,5,10,Monday
East,204220,1,10,Monday
East,221626,1,17,Thursday
East,474362,1,17,Thursday
East,758294,2,8,Friday
East,272383,1,8,Friday
East,404100,2,8,Friday
East,144818,1,3,Saturday
East,695926,2,3,Saturday
East,932952,2,3,Saturday
East,179507,2,1,Wednesday
Central,244547,3,0,Sunday
Central,917641,1,0,Sunday
North,713451,4,20,Tuesday
North,437577,4,20,Tuesday
North,647421,2,20,Tuesday
North,797959,1,11,Friday
North,556364,1,11,Friday
East,370119,2,18,Thursday
East,394174,1,18,Thursday
East,932952,2,21,Saturday
East,643168,2,21,Saturday
East,613608,3,1,Monday
East,190530,1,1,Monday
East,712158,1,1,Monday
North,981997,4,0,Saturday
North,784425,1,0,Saturday
North,129553,3,23,Saturday
Central,788175,3,13,Friday
East,695926,4,23,Friday
South,741835,1,14,Friday
South,155861,3,3,Saturday
South,602517,3,3,Saturday
South,821570,1,3,Saturday
North,912354,1,9,Wednesday
North,682453,1,9,Wednesday
North,202715,2,9,Wednesday
East,826219,1,10,Saturday
East,738390,3,22,Saturday
East,120672,2,22,Saturday
East,664634,1,22,Saturday
East,367952,2,21,Tuesday
East,467525,1,21,Tuesday
East,108796,2,21,Tuesday
East,556364,3,19,Thursday
East,713622,1,4,Monday
East,323016,2,4,Monday
East,641411,4,4,Monday
Central,201111,1,3,Monday
Central,447288,3,21,Friday
Central,713451,1,21,Friday
South,587281,2,0,Saturday
South,123191,1,0,Saturday
South,130198,3,6,Saturday
South,981997,2,6,Saturday
South,511087,2,6,Saturday
Central,327418,1,10,Wednesday
Central,283803,4,10,Wednesday
West,550857,1,11,Saturday
West,987911,1,11,Saturday
West,582219,5,11,Saturday
West,957598,1,9,Monday
East,644730,2,3,Sunday
East,167392,1,3,Sunday
East,712158,2,3,Sunday
West,896270,4,21,Thursday
West,572994,2,21,Thursday
West,144818,4,21,Thursday
East,885901,1,9,Monday
Central,926868,1,14,Thursday
Central,340098,2,14,Thursday
Central,932387,5,14,Thursday
North,489295,2,15,Sunday
East,458263,1,7,Tuesday
East,665639,2,7,Tuesday
East,394174,2,7,Tuesday
North,315487,2,17,Saturday
North,885901,4,17,Saturday
West,451956,3,0,Thursday
West,647654,5,0,Thursday
West,966126,1,14,Thursday
West,257146,2,14,Thursday
West,149774,1,12,Wednesday
Central,458363,2,5,Thursday
Central,422552,1,5,Thursday
Central,632686,3,5,Thursday
East,529557,5,7,Wednesday
Central,846554,1,21,Sunday
Central,123191,5,21,Sunday
South,226632,2,0,Sunday
East,431976,1,12,Thursday
West,846554,4,15,Tuesday
West,280162,1,15,Tuesday
West,144818,3,8,Thursday
North,467525,3,7,Monday
North,293073,3,7,Monday
North,103736,2,7,Monday
Central,115348,4,20,Sunday
Central,588836,2,20,Sunday
Central,351367,3,20,Sunday
East,797959,2,5,Thursday
East,740474,1,5,Thursday
West,177733,2,12,Thursday
North,331204,4,23,Friday
North,912354,1,23,Friday
South,257146,2,6,Friday
South,268844,3,6,Friday
South,123191,4,6,Friday
Central,149774,3,7,Thursday
South,340098,1,0,Thursday
Central,404100,2,18,Thursday
Central,641411,1,18,Thursday
Central,291116,4,18,Thursday
East,129553,2,21,Monday
East,467525,1,23,Friday
East,780063,1,23,Friday
East,451956,3,23,Friday
Central,713451,3,21,Monday
Central,858212,2,21,Monday
West,130198,2,13,Sunday
West,740474,1,13,Sunday
West,404100,1,13,Sunday
North,272383,5,7,Saturday
West,467894,1,23,Friday
West,625107,2,23,Friday
West,297266,1,14,Sunday
West,526783,5,14,Sunday
West,782729,5,14,Sunday
South,130198,1,19,Saturday
South,970718,1,19,Saturday
South,417528,2,19,Saturday
Central,543513,1,17,Saturday
Central,204220,1,17,Saturday
Central,240196,2,17,Saturday
West,179932,2,12,Thursday
West,447726,1,12,Thursday
West,190530,5,12,Thursday
East,591797,1,12,Tuesday
East,315487,2,23,Saturday
East,451956,1,23,Saturday
East,451956,2,23,Saturday
Central,656573,1,14,Saturday
Central,780063,1,14,Saturday
West,474362,2,16,Monday
West,458263,1,16,Monday
West,987911,1,16,Monday
North,122121,2,17,Wednesday
South,844672,2,3,Saturday
South,158033,4,3,Saturday
South,179507,4,3,Saturday
Central,826219,2,17,Saturday
Central,424718,1,17,Saturday
Central,760381,2,17,Saturday
South,417009,2,9,Saturday
South,315187,1,9,Saturday
Central,647421,2,3,Monday
East,543513,2,2,Sunday
Central,204293,2,4,Sunday
Central,177733,2,0,Sunday
South,973291,3,18,Sunday
East,190530,1,7,Wednesday
East,740474,1,7,Wednesday
West,763628,2,19,Sunday
East,700732,1,1,Sunday
Central,391708,4,9,Friday
Central,458363,5,9,Friday
Central,297266,2,9,Friday
South,179507,1,2,Tuesday
South,844672,2,2,Tuesday
South,120672,2,2,Tuesday
North,379582,1,16,Sunday
North,451956,2,16,Sunday
North,716660,3,16,Sunday
East,370119,2,1,Friday
East,160732,3,1,Friday
North,120672,2,19,Saturday
Central,179932,1,9,Wednesday
Central,641411,4,1,Thursday
South,190530,3,22,Wednesday
South,564853,4,22,Wednesday
West,177733,2,14,Monday
West,591797,4,14,Monday
West,166402,2,14,Monday
North,695926,1,14,Saturday
North,201111,1,14,Saturday
North,123191,1,14,Saturday
North,190530,1,4,Thursday
North,845820,2,4,Thursday
Central,409067,2,6,Saturday
Central,580730,1,6,Saturday
Central,780063,1,6,Saturday
North,550857,1,1,Friday
East,904976,3,9,Saturday
East,987911,1,9,Saturday
West,602517,1,7,Wednesday
West,885901,1,7,Wednesday
West,858212,2,7,Wednesday
East,713451,1,23,Tuesday
East,160732,3,23,Tuesday
West,973291,1,1,Tuesday
West,176656,4,1,Tuesday
North,367952,2,16,Thursday
South,657579,1,12,Saturday
South,437577,3,12,Saturday
South,858212,1,12,Saturday
East,644730,4,8,Tuesday
South,458363,1,17,Saturday
South,394174,2,17,Saturday
North,657579,2,1,Thursday
East,741835,4,3,Sunday
East,458363,1,3,Sunday
East,211520,1,3,Sunday
Central,727865,2,9,Thursday
Central,435530,1,9,Thursday
South,280162,1,8,Friday
West,451956,1,16,Tuesday
West,115348,5,16,Tuesday
West,766294,1,16,Tuesday
North,367952,1,4,Monday
North,700732,4,11,Friday
North,283803,2,11,Friday
West,394868,4,7,Tuesday
West,542696,1,7,Tuesday
South,602517,1,23,Thursday
South,244547,1,23,Thursday
North,125748,2,18,Sunday
North,370119,1,18,Sunday
North,647654,2,20,Thursday
East,727865,2,15,Monday
East,664634,2,15,Monday
East,990634,1,15,Monday
East,179932,1,5,Sunday
East,587281,4,5,Sunday
North,582936,4,15,Saturday
North,845820,4,15,Saturday
North,134761,3,19,Sunday
North,782729,1,19,Sunday
North,447288,1,19,Sunday
Central,136788,3,12,Friday
North,826219,2,18,Tuesday
North,315487,2,18,Tuesday
South,176656,2,21,Monday
South,179507,4,21,Monday
South,149774,2,21,Monday
Central,435530,1,19,Friday
North,766294,2,1,Wednesday
North,734159,3,1,Wednesday
North,740474,2,1,Wednesday
South,580730,1,20,Wednesday
East,966126,4,11,Monday
East,394174,1,14,Sunday
East,966126,3,14,Sunday
East,328679,5,14,Sunday
South,283621,1,9,Friday
South,858212,3,9,Friday
East,641411,4,5,Saturday
East,990634,1,5,Saturday
Central,315487,1,1,Wednesday
North,821570,3,15,Thursday
North,966126,1,15,Thursday
North,331204,1,15,Thursday
North,788175,4,20,Wednesday
North,587281,2,20,Wednesday
North,657579,1,20,Wednesday
West,447288,1,5,Friday
West,103736,2,5,Friday
East,315487,3,16,Tuesday
East,740474,1,16,Tuesday
East,489295,1,16,Tuesday
North,327418,3,5,Tuesday
East,766294,4,4,Sunday
East,826219,5,4,Sunday
Central,462550,1,0,Tuesday
Central,179507,1,0,Tuesday
Central,528608,1,0,Tuesday
South,127005,3,20,Tuesday
South,647654,2,20,Tuesday
East,596545,2,21,Sunday
East,463028,1,21,Sunday
South,564853,3,12,Saturday
South,291116,2,12,Saturday
East,511087,2,17,Saturday
West,858212,2,9,Thursday
North,529557,1,6,Thursday
North,201111,3,6,Thursday
East,763628,3,19,Tuesday
East,845820,2,14,Tuesday
East,625107,3,14,Tuesday
East,244547,1,14,Tuesday
West,289459,4,1,Sunday
West,582219,1,1,Sunday
Central,511087,2,16,Thursday
Central,990634,4,16,Thursday
Central,283621,3,16,Thursday
East,543513,1,17,Saturday
East,340098,1,17,Saturday
Central,580730,2,4,Sunday
South,297266,3,15,Wednesday
South,874326,1,15,Wednesday
West,152243,1,22,Wednesday
West,155861,4,22,Wednesday
West,966126,3,22,Wednesday
North,131542,5,1,Thursday
North,315187,3,1,Thursday
South,858212,1,13,Monday
North,297266,1,21,Tuesday
East,202715,1,11,Monday
East,293073,1,11,Monday
East,995677,4,11,Monday
Central,782729,1,19,Friday
Central,625107,3,19,Friday
South,457848,2,12,Wednesday
South,644730,2,12,Wednesday
South,657579,2,12,Wednesday
North,315487,1,10,Wednesday
North,589456,4,10,Wednesday
West,529557,2,5,Friday
West,657579,5,5,Friday
South,981997,1,20,Tuesday
West,523098,1,15,Saturday
North,788175,2,12,Saturday
East,632686,4,14,Wednesday
East,713622,3,14,Wednesday
East,727865,2,14,Wednesday
North,211520,1,19,Tuesday
North,625107,1,19,Tuesday
North,713622,4,19,Tuesday
Central,370119,1,3,Monday
Central,601115,1,3,Monday
Central,254410,2,18,Friday
Central,957598,5,18,Friday
West,966126,2,7,Saturday
West,467894,4,7,Saturday
West,327670,2,7,Saturday
North,811207,4,9,Thursday
