order_id,order_date,delivery_time,area
100048,2023-01-04,2023-01-04 03:01:00,West
100049,2023-10-20,2023-10-20 19:38:00,West
100050,2023-12-06,2023-12-06 01:09:00,West
100051,2023-10-28,2023-10-28 16:42:00,Central
100052,2023-03-02,2023-03-02 15:17:00,South
100053,2023-11-07,2023-11-07 00:57:00,East
100054,2023-06-01,2023-06-01 18:17:00,North
100055,2023-05-26,2023-05-26 06:24:00,South
100056,2023-09-27,2023-09-27 12:08:00,North
100057,2023-10-20,2023-10-20 23:18:00,North
100058,2023-09-18,2023-09-18 04:53:00,South
100059,2023-05-14,2023-05-14 22:52:00,West
100060,2023-10-30,2023-10-30 13:43:00,East
100061,2023-04-10,2023-04-10 22:28:00,South
100062,2023-07-13,2023-07-13 12:59:00,Central
100063,2023-10-23,2023-10-23 19:13:00,East
100064,2023-09-12,2023-09-12 10:11:00,North
100065,2023-08-29,2023-08-29 17:59:00,South
100066,2023-10-11,2023-10-11 13:38:00,South
100067,2023-08-08,2023-08-08 21:06:00,East
100068,2023-10-10,2023-10-10 12:45:00,North
100069,2023-05-03,2023-05-03 12:10:00,East
100070,2023-01-26,2023-01-26 09:59:00,North
100071,2023-12-02,2023-12-02 01:51:00,West
100072,2023-04-13,2023-04-13 17:23:00,West
100073,2023-11-24,2023-11-24 08:31:00,West
100074,2023-08-25,2023-08-25 20:07:00,Central
100075,2023-09-19,2023-09-19 10:42:00,East
100076,2023-08-28,2023-08-28 07:23:00,South
100077,2023-01-23,2023-01-23 13:43:00,North
100078,2023-11-18,2023-11-18 19:11:00,Central
100079,2023-08-05,2023-08-05 14:11:00,Central
100080,2023-02-12,2023-02-12 11:46:00,East
100081,2023-01-26,2023-01-26 23:40:00,East
100082,2023-06-15,2023-06-15 01:35:00,Central
100083,2023-02-25,2023-02-25 12:32:00,South
100084,2023-04-14,2023-04-14 17:29:00,North
100085,2023-05-02,2023-05-02 06:49:00,South
100086,2023-08-27,2023-08-27 16:32:00,West
100087,2023-09-02,2023-09-02 21:51:00,Central
100088,2023-07-04,2023-07-04 14:13:00,East
100089,2023-07-27,2023-07-27 19:16:00,West
100090,2023-04-11,2023-04-11 22:51:00,North
100091,2023-09-29,2023-09-29 09:12:00,East
100092,2023-05-11,2023-05-11 12:05:00,Central
100093,2023-07-24,2023-07-24 17:52:00,South
100094,2023-09-03,2023-09-03 12:48:00,East
100095,2023-01-06,2023-01-06 07:45:00,East
100096,2023-08-19,2023-08-19 08:49:00,Central
100097,2023-07-30,2023-07-30 20:56:00,South
100098,2023-02-19,2023-02-19 22:47:00,North
100099,2023-03-22,2023-03-22 19:40:00,North
100100,2023-08-04,2023-08-04 05:30:00,East
100101,2023-11-13,2023-11-13 07:33:00,West
100102,2023-05-21,2023-05-21 21:49:00,North
100103,2023-07-17,2023-07-17 23:38:00,West
100104,2023-09-06,2023-09-06 07:32:00,South
100105,2023-01-26,2023-01-26 18:15:00,North
100106,2023-05-08,2023-05-08 17:53:00,East
100107,2023-12-22,2023-12-22 21:43:00,East
100108,2023-04-20,2023-04-20 05:46:00,Central
100109,2023-02-20,2023-02-20 19:25:00,Central
100110,2023-04-03,2023-04-03 07:44:00,South
100111,2023-05-02,2023-05-02 00:08:00,East
100112,2023-04-01,2023-04-01 11:43:00,South
100113,2023-12-29,2023-12-29 07:17:00,West
100114,2023-10-08,2023-10-08 04:48:00,East
100115,2023-08-01,2023-08-01 07:00:00,West
100116,2023-06-25,2023-06-25 18:10:00,North
100117,2023-02-23,2023-02-23 15:17:00,Central
100118,2023-10-31,2023-10-31 19:54:00,West
100119,2023-03-19,2023-03-19 06:52:00,West
100120,2023-04-27,2023-04-27 20:32:00,East
100121,2023-09-05,2023-09-05 13:07:00,Central
100122,2023-06-13,2023-06-13 05:11:00,Central
100123,2023-01-27,2023-01-27 02:01:00,Central
100124,2023-10-05,2023-10-05 05:07:00,East
100125,2023-11-25,2023-11-25 11:53:00,North
100126,2023-05-27,2023-05-27 13:31:00,Central
100127,2023-11-08,2023-11-08 04:14:00,South
100128,2023-03-03,2023-03-03 15:14:00,Central
100129,2023-12-08,2023-12-08 01:30:00,East
100130,2023-03-28,2023-03-28 19:05:00,South
100131,2023-10-29,2023-10-29 02:29:00,East
100132,2023-03-07,2023-03-07 18:50:00,West
100133,2023-10-21,2023-10-21 12:08:00,South
100134,2023-07-24,2023-07-24 23:57:00,Central
100135,2023-08-31,2023-08-31 10:16:00,North
100136,2023-07-31,2023-07-31 13:14:00,West
100137,2023-10-19,2023-10-19 01:12:00,West
100138,2023-05-04,2023-05-04 03:03:00,Central
100139,2023-02-18,2023-02-18 20:04:00,West
100140,2023-05-27,2023-05-27 18:15:00,Central
100141,2023-09-21,2023-09-21 08:52:00,Central
100142,2023-10-15,2023-10-15 15:35:00,South
100143,2023-05-29,2023-05-29 14:47:00,North
100144,2023-06-26,2023-06-26 07:19:00,South
100145,2023-03-27,2023-03-27 20:12:00,North
100146,2023-08-19,2023-08-19 11:57:00,North
100147,2023-01-04,2023-01-04 18:26:00,East
100148,2023-09-10,2023-09-10 13:24:00,South
100149,2023-07-15,2023-07-15 20:13:00,North
100150,2023-01-27,2023-01-27 11:55:00,South
100151,2023-11-09,2023-11-09 14:23:00,South
100152,2023-07-09,2023-07-09 04:24:00,West
100153,2023-10-09,2023-10-09 01:32:00,North
100154,2023-07-15,2023-07-15 18:57:00,South
100155,2023-03-03,2023-03-03 02:48:00,West
100156,2023-01-12,2023-01-12 12:44:00,Central
100157,2023-05-19,2023-05-19 04:23:00,Central
100158,2023-07-02,2023-07-02 02:55:00,West
100159,2023-09-06,2023-09-06 15:50:00,West
100160,2023-06-08,2023-06-08 14:02:00,Central
100161,2023-05-18,2023-05-18 00:35:00,West
100162,2023-06-23,2023-06-23 01:24:00,West
100163,2023-01-12,2023-01-12 11:47:00,North
100164,2023-10-05,2023-10-05 22:27:00,Central
100165,2023-06-26,2023-06-26 21:19:00,Central
100166,2023-03-29,2023-03-29 14:51:00,South
100167,2023-05-06,2023-05-06 15:53:00,Central
100168,2023-08-29,2023-08-29 21:12:00,South
100169,2023-07-03,2023-07-03 23:07:00,West
100170,2023-04-15,2023-04-15 06:50:00,South
100171,2023-12-07,2023-12-07 15:57:00,Central
100172,2023-07-13,2023-07-13 09:27:00,East
100173,2023-02-26,2023-02-26 00:41:00,West
100174,2023-11-13,2023-11-13 10:37:00,Central
100175,2023-12-15,2023-12-15 10:28:00,West
100176,2023-09-19,2023-09-19 20:44:00,North
100177,2023-11-25,2023-11-25 19:53:00,South
100178,2023-10-19,2023-10-19 08:28:00,East
100179,2023-09-06,2023-09-06 18:36:00,Central
100180,2023-11-02,2023-11-02 21:22:00,West
100181,2023-06-02,2023-06-02 22:26:00,West
100182,2023-05-12,2023-05-12 05:08:00,East
100183,2023-11-05,2023-11-05 21:38:00,North
100184,2023-07-01,2023-07-01 04:31:00,North
100185,2023-01-24,2023-01-24 20:00:00,South
100186,2023-01-30,2023-01-30 03:32:00,East
100187,2023-05-16,2023-05-16 23:58:00,Central
100188,2023-05-12,2023-05-12 21:11:00,West
100189,2023-04-29,2023-04-29 23:32:00,East
100190,2023-05-02,2023-05-02 14:44:00,West
100191,2023-12-05,2023-12-05 13:25:00,North
100192,2023-01-03,2023-01-03 01:43:00,West
100193,2023-07-21,2023-07-21 19:01:00,East
100194,2023-04-26,2023-04-26 15:33:00,South
100195,2023-09-01,2023-09-01 08:07:00,Central
100196,2023-12-17,2023-12-17 11:29:00,North
100197,2023-03-09,2023-03-09 05:12:00,Central
100198,2023-03-01,2023-03-01 19:16:00,North
100199,2023-04-09,2023-04-09 12:29:00,Central
100200,2023-03-24,2023-03-24 14:43:00,Central
100201,2023-02-20,2023-02-20 13:48:00,Central
100202,2023-10-01,2023-10-01 02:51:00,Central
100203,2023-01-31,2023-01-31 00:22:00,East
100204,2023-07-19,2023-07-19 12:19:00,Central
100205,2023-07-07,2023-07-07 10:55:00,South
100206,2023-10-25,2023-10-25 09:03:00,West
100207,2023-08-09,2023-08-09 04:23:00,West
100208,2023-11-09,2023-11-09 21:55:00,West
100209,2023-03-08,2023-03-08 18:37:00,Central
100210,2023-06-08,2023-06-08 14:27:00,East
100211,2023-03-14,2023-03-14 07:06:00,North
100212,2023-01-24,2023-01-24 21:10:00,South
100213,2023-02-28,2023-02-28 03:05:00,Central
100214,2023-12-20,2023-12-20 18:00:00,East
100215,2023-05-16,2023-05-16 14:23:00,Central
100216,2023-09-28,2023-09-28 13:09:00,West
100217,2023-04-09,2023-04-09 07:04:00,East
100218,2023-11-04,2023-11-04 17:16:00,South
100219,2023-07-22,2023-07-22 19:35:00,South
100220,2023-02-03,2023-02-03 03:09:00,South
100221,2023-02-27,2023-02-27 20:04:00,Central
100222,2023-04-05,2023-04-05 18:06:00,Central
100223,2023-09-24,2023-09-24 12:28:00,Central
100224,2023-12-21,2023-12-21 06:03:00,North
100225,2023-03-02,2023-03-02 16:14:00,North
100226,2023-06-04,2023-06-04 02:27:00,East
100227,2023-05-25,2023-05-25 14:51:00,South
100228,2023-05-07,2023-05-07 20:28:00,South
100229,2023-01-08,2023-01-08 19:18:00,South
100230,2023-01-14,2023-01-14 21:39:00,South
100231,2023-09-01,2023-09-01 19:58:00,West
100232,2023-08-28,2023-08-28 04:59:00,West
100233,2023-12-25,2023-12-25 11:35:00,West
100234,2023-06-09,2023-06-09 22:12:00,West
100235,2023-11-02,2023-11-02 10:43:00,North
100236,2023-03-05,2023-03-05 08:12:00,East
100237,2023-03-11,2023-03-11 07:25:00,South
100238,2023-08-05,2023-08-05 14:38:00,East
100239,2023-06-03,2023-06-03 22:43:00,East
100240,2023-02-06,2023-02-06 07:01:00,West
100241,2023-12-24,2023-12-24 01:00:00,North
100242,2023-06-23,2023-06-23 08:09:00,West
100243,2023-07-02,2023-07-02 15:49:00,North
100244,2023-05-23,2023-05-23 18:06:00,East
100245,2023-03-19,2023-03-19 20:18:00,Central
100246,2023-07-24,2023-07-24 23:08:00,East
100247,2023-05-14,2023-05-14 08:08:00,Central
100248,2023-12-25,2023-12-25 01:28:00,South
100249,2023-08-04,2023-08-04 03:42:00,West
100250,2023-11-02,2023-11-02 13:03:00,South
100251,2023-10-22,2023-10-22 18:52:00,East
100252,2023-05-12,2023-05-12 01:22:00,West
100253,2023-12-20,2023-12-20 09:00:00,Central
100254,2023-08-20,2023-08-20 06:35:00,Central
100255,2023-09-05,2023-09-05 21:05:00,South
100256,2023-11-14,2023-11-14 12:21:00,South
100257,2023-03-23,2023-03-23 05:31:00,East
100258,2023-11-06,2023-11-06 08:42:00,South
100259,2023-12-03,2023-12-03 16:01:00,North
100260,2023-01-06,2023-01-06 02:43:00,North
100261,2023-12-10,2023-12-10 00:32:00,East
100262,2023-06-18,2023-06-18 10:26:00,East
100263,2023-12-15,2023-12-15 16:04:00,East
100264,2023-08-21,2023-08-21 20:22:00,South
100265,2023-09-13,2023-09-13 03:44:00,North
100266,2023-04-22,2023-04-22 04:16:00,South
100267,2023-01-29,2023-01-29 12:12:00,Central
100268,2023-04-03,2023-04-03 13:06:00,North
100269,2023-08-14,2023-08-14 20:04:00,West
100270,2023-08-13,2023-08-13 09:56:00,West
100271,2023-06-05,2023-06-05 11:16:00,North
100272,2023-11-07,2023-11-07 17:20:00,West
100273,2023-02-28,2023-02-28 00:49:00,North
100274,2023-12-21,2023-12-21 20:19:00,East
100275,2023-10-15,2023-10-15 08:11:00,East
100276,2023-05-08,2023-05-08 13:02:00,South
100277,2023-07-08,2023-07-08 21:07:00,South
100278,2023-04-08,2023-04-08 14:23:00,Central
100279,2023-09-24,2023-09-24 10:11:00,Central
100280,2023-10-05,2023-10-05 12:11:00,Central
100281,2023-01-16,2023-01-16 11:52:00,Central
100282,2023-09-28,2023-09-28 18:11:00,North
100283,2023-10-07,2023-10-07 22:58:00,East
100284,2023-06-27,2023-06-27 19:44:00,South
100285,2023-12-25,2023-12-25 14:41:00,South
100286,2023-09-19,2023-09-19 21:58:00,East
100287,2023-07-22,2023-07-22 19:36:00,North
100288,2023-02-05,2023-02-05 23:28:00,Central
100289,2023-09-06,2023-09-06 12:57:00,East
100290,2023-12-29,2023-12-29 04:40:00,South
100291,2023-07-12,2023-07-12 06:42:00,South
100292,2023-05-31,2023-05-31 14:06:00,North
100293,2023-02-13,2023-02-13 02:15:00,North
100294,2023-06-22,2023-06-22 22:37:00,West
100295,2023-04-07,2023-04-07 20:06:00,West
100296,2023-01-06,2023-01-06 10:48:00,East
100297,2023-07-17,2023-07-17 15:44:00,Central
100298,2023-11-21,2023-11-21 13:40:00,West
100299,2023-04-03,2023-04-03 10:26:00,North
100300,2023-01-28,2023-01-28 18:24:00,Central
100301,2023-03-28,2023-03-28 08:20:00,Central
100302,2023-11-19,2023-11-19 07:53:00,East
100303,2023-01-06,2023-01-06 03:37:00,North
100304,2023-02-08,2023-02-08 09:03:00,West
100305,2023-05-09,2023-05-09 21:32:00,East
100306,2023-03-12,2023-03-12 20:59:00,South
100307,2023-08-10,2023-08-10 02:10:00,West
100308,2023-11-25,2023-11-25 14:11:00,West
100309,2023-01-03,2023-01-03 13:12:00,North
100310,2023-10-18,2023-10-18 08:53:00,South
100311,2023-08-11,2023-08-11 05:27:00,West
100312,2023-05-23,2023-05-23 08:58:00,West
100313,2023-04-19,2023-04-19 11:06:00,East
100314,2023-02-28,2023-02-28 04:02:00,Central
100315,2023-06-04,2023-06-04 15:10:00,North
100316,2023-05-09,2023-05-09 08:20:00,South
100317,2023-07-10,2023-07-10 14:06:00,North
100318,2023-10-22,2023-10-22 03:20:00,West
100319,2023-07-07,2023-07-07 15:05:00,East
100320,2023-08-04,2023-08-04 19:37:00,East
100321,2023-08-19,2023-08-19 02:55:00,Central
100322,2023-06-04,2023-06-04 18:53:00,East
100323,2023-06-05,2023-06-05 10:13:00,North
100324,2023-03-27,2023-03-27 10:51:00,East
100325,2023-02-16,2023-02-16 17:55:00,East
100326,2023-01-06,2023-01-06 08:28:00,East
100327,2023-01-14,2023-01-14 03:26:00,East
100328,2023-07-19,2023-07-19 01:07:00,East
100329,2023-10-08,2023-10-08 00:53:00,Central
100330,2023-05-02,2023-05-02 20:11:00,North
100331,2023-06-16,2023-06-16 11:43:00,North
100332,2023-06-15,2023-06-15 18:55:00,East
100333,2023-07-08,2023-07-08 21:06:00,East
100334,2023-02-20,2023-02-20 01:30:00,East
100335,2023-04-01,2023-04-01 00:48:00,North
100336,2023-06-24,2023-06-24 23:37:00,North
100337,2023-10-13,2023-10-13 13:07:00,Central
100338,2023-06-23,2023-06-23 23:52:00,East
100339,2023-10-06,2023-10-06 14:53:00,South
100340,2023-06-10,2023-06-10 03:32:00,South
100341,2023-01-18,2023-01-18 09:56:00,North
100342,2023-04-29,2023-04-29 10:56:00,East
100343,2023-06-24,2023-06-24 22:55:00,East
100344,2023-01-17,2023-01-17 21:02:00,East
100345,2023-06-08,2023-06-08 19:17:00,East
100346,2023-10-30,2023-10-30 04:56:00,East
100347,2023-11-20,2023-11-20 03:05:00,Central
100348,2023-11-10,2023-11-10 21:12:00,Central
100349,2023-03-11,2023-03-11 00:16:00,South
100350,2023-09-02,2023-09-02 06:26:00,South
100351,2023-07-19,2023-07-19 10:17:00,Central
100352,2023-09-16,2023-09-16 11:27:00,West
100353,2023-04-24,2023-04-24 09:15:00,West
100354,2023-12-31,2023-12-31 03:13:00,East
100355,2023-08-24,2023-08-24 21:53:00,West
100356,2023-09-18,2023-09-18 09:14:00,East
100357,2023-09-07,2023-09-07 14:56:00,Central
100358,2023-09-17,2023-09-17 15:16:00,North
100359,2023-05-09,2023-05-09 07:07:00,East
100360,2023-07-08,2023-07-08 17:35:00,North
100361,2023-03-30,2023-03-30 00:36:00,West
100362,2023-01-05,2023-01-05 14:22:00,West
100363,2023-02-08,2023-02-08 12:50:00,West
100364,2023-08-17,2023-08-17 05:27:00,Central
100365,2023-10-11,2023-10-11 07:20:00,East
100366,2023-12-10,2023-12-10 21:54:00,Central
100367,2023-12-17,2023-12-17 00:36:00,South
100368,2023-04-13,2023-04-13 12:35:00,East
100369,2023-09-12,2023-09-12 15:31:00,West
100370,2023-07-20,2023-07-20 08:36:00,West
100371,2023-09-25,2023-09-25 07:23:00,North
100372,2023-04-30,2023-04-30 20:07:00,Central
100373,2023-12-28,2023-12-28 05:06:00,East
100374,2023-02-23,2023-02-23 12:51:00,West
100375,2023-03-03,2023-03-03 23:05:00,North
100376,2023-10-27,2023-10-27 06:02:00,South
100377,2023-08-10,2023-08-10 07:49:00,Central
100378,2023-10-05,2023-10-05 00:18:00,South
100379,2023-12-28,2023-12-28 18:53:00,Central
100380,2023-09-25,2023-09-25 21:33:00,East
100381,2023-06-23,2023-06-23 23:58:00,East
100382,2023-06-26,2023-06-26 21:02:00,Central
100383,2023-10-01,2023-10-01 13:05:00,West
100384,2023-11-18,2023-11-18 07:58:00,North
100385,2023-12-01,2023-12-01 23:07:00,West
100386,2023-05-28,2023-05-28 14:27:00,West
100387,2023-06-17,2023-06-17 19:00:00,South
100388,2023-01-21,2023-01-21 17:01:00,Central
100389,2023-08-24,2023-08-24 12:51:00,West
100390,2023-05-23,2023-05-23 12:59:00,East
100391,2023-01-21,2023-01-21 23:23:00,East
100392,2023-02-04,2023-02-04 14:47:00,Central
100393,2023-10-30,2023-10-30 16:38:00,West
100394,2023-01-11,2023-01-11 17:12:00,North
100395,2023-09-16,2023-09-16 03:30:00,South
100396,2023-11-04,2023-11-04 17:03:00,Central
100397,2023-10-07,2023-10-07 09:17:00,South
100398,2023-03-06,2023-03-06 03:28:00,Central
100399,2023-02-19,2023-02-19 02:40:00,East
100400,2023-11-19,2023-11-19 04:53:00,Central
100401,2023-06-25,2023-06-25 00:45:00,Central
100402,2023-07-23,2023-07-23 18:20:00,South
100403,2023-09-06,2023-09-06 07:44:00,East
100404,2023-01-22,2023-01-22 19:57:00,West
100405,2023-12-31,2023-12-31 01:44:00,East
100406,2023-02-17,2023-02-17 09:41:00,Central
100407,2023-06-27,2023-06-27 02:16:00,South
100408,2023-03-12,2023-03-12 16:01:00,North
100409,2023-02-24,2023-02-24 01:58:00,East
100410,2023-02-11,2023-02-11 19:25:00,North
100411,2023-03-15,2023-03-15 09:00:00,Central
100412,2023-11-02,2023-11-02 01:12:00,Central
100413,2023-08-02,2023-08-02 22:54:00,South
100414,2023-03-13,2023-03-13 14:59:00,West
100415,2023-11-18,2023-11-18 14:36:00,North
100416,2023-11-09,2023-11-09 04:53:00,North
100417,2023-10-14,2023-10-14 06:39:00,Central
100418,2023-01-27,2023-01-27 01:54:00,North
100419,2023-07-29,2023-07-29 09:36:00,East
100420,2023-11-08,2023-11-08 07:34:00,West
100421,2023-02-07,2023-02-07 23:15:00,East
100422,2023-08-29,2023-08-29 01:25:00,West
100423,2023-04-27,2023-04-27 16:20:00,North
100424,2023-12-30,2023-12-30 12:21:00,South
100425,2023-05-23,2023-05-23 08:31:00,East
100426,2023-11-25,2023-11-25 17:45:00,South
100427,2023-04-27,2023-04-27 01:12:00,North
100428,2023-09-24,2023-09-24 03:01:00,East
100429,2023-06-22,2023-06-22 09:37:00,Central
100430,2023-09-22,2023-09-22 08:49:00,South
100431,2023-07-11,2023-07-11 16:45:00,West
100432,2023-10-23,2023-10-23 04:32:00,North
100433,2023-11-24,2023-11-24 11:41:00,North
100434,2023-03-07,2023-03-07 07:39:00,West
100435,2023-11-23,2023-11-23 23:01:00,South
100436,2023-03-12,2023-03-12 18:31:00,North
100437,2023-03-02,2023-03-02 20:20:00,North
100438,2023-05-29,2023-05-29 15:51:00,East
100439,2023-05-21,2023-05-21 05:10:00,East
100440,2023-10-07,2023-10-07 15:30:00,North
100441,2023-04-02,2023-04-02 19:32:00,North
100442,2023-12-08,2023-12-08 12:25:00,Central
100443,2023-01-31,2023-01-31 18:48:00,North
100444,2023-07-03,2023-07-03 21:55:00,South
100445,2023-06-16,2023-06-16 19:47:00,Central
100446,2023-04-26,2023-04-26 01:24:00,North
100447,2023-04-12,2023-04-12 20:54:00,South
100448,2023-01-16,2023-01-16 11:51:00,East
100449,2023-12-31,2023-12-31 14:07:00,East
100450,2023-07-14,2023-07-14 09:16:00,South
100451,2023-01-21,2023-01-21 05:53:00,East
100452,2023-06-21,2023-06-21 01:53:00,Central
100453,2023-03-16,2023-03-16 15:20:00,North
100454,2023-09-20,2023-09-20 20:50:00,North
100455,2023-05-26,2023-05-26 05:13:00,West
100456,2023-04-18,2023-04-18 16:53:00,East
100457,2023-10-10,2023-10-10 05:26:00,North
100458,2023-05-14,2023-05-14 04:05:00,East
100459,2023-12-05,2023-12-05 00:31:00,Central
100460,2023-03-21,2023-03-21 20:09:00,South
100461,2023-11-12,2023-11-12 21:55:00,East
100462,2023-09-09,2023-09-09 12:45:00,South
100463,2023-10-07,2023-10-07 17:57:00,East
100464,2023-02-09,2023-02-09 09:31:00,West
100465,2023-11-30,2023-11-30 06:09:00,North
100466,2023-01-17,2023-01-17 19:29:00,East
100467,2023-04-18,2023-04-18 14:17:00,East
100468,2023-08-06,2023-08-06 01:02:00,West
100469,2023-06-22,2023-06-22 16:17:00,Central
100470,2023-07-01,2023-07-01 17:04:00,East
100471,2023-01-08,2023-01-08 04:34:00,Central
100472,2023-06-14,2023-06-14 15:41:00,South
100473,2023-01-04,2023-01-04 22:30:00,West
100474,2023-11-30,2023-11-30 01:52:00,North
100475,2023-11-27,2023-11-27 13:12:00,South
100476,2023-09-19,2023-09-19 21:55:00,North
100477,2023-02-13,2023-02-13 11:05:00,East
100478,2023-04-28,2023-04-28 19:12:00,Central
100479,2023-06-28,2023-06-28 12:19:00,South
100480,2023-01-18,2023-01-18 10:38:00,North
100481,2023-03-03,2023-03-03 05:06:00,West
100482,2023-11-21,2023-11-21 20:44:00,South
100483,2023-09-30,2023-09-30 15:44:00,West
100484,2023-10-28,2023-10-28 12:40:00,North
100485,2023-04-12,2023-04-12 14:22:00,East
100486,2023-09-26,2023-09-26 19:16:00,North
100487,2023-07-10,2023-07-10 03:39:00,Central
100488,2023-11-03,2023-11-03 18:53:00,Central
100489,2023-08-05,2023-08-05 07:27:00,West
100490,2023-10-26,2023-10-26 09:15:00,North
100491,2023-06-28,2023-06-28 03:01:00,South
100492,2023-12-11,2023-12-11 05:48:00,Central
100493,2023-06-22,2023-06-22 12:04:00,East
100494,2023-10-08,2023-10-08 00:17:00,West
100495,2023-01-10,2023-01-10 06:25:00,West
100496,2023-03-06,2023-03-06 04:44:00,Central
100497,2023-12-25,2023-12-25 14:44:00,East
100498,2023-02-20,2023-02-20 20:56:00,South
100499,2023-08-19,2023-08-19 09:24:00,Central
100500,2023-08-11,2023-08-11 09:22:00,South
100501,2023-10-28,2023-10-28 22:03:00,East
100502,2023-07-30,2023-07-30 15:12:00,North
100503,2023-07-16,2023-07-16 22:17:00,North
100504,2023-03-24,2023-03-24 09:42:00,Central
100505,2023-06-03,2023-06-03 11:29:00,Central
100506,2023-11-19,2023-11-19 15:03:00,Central
100507,2023-06-10,2023-06-10 08:46:00,North
100508,2023-03-06,2023-03-06 20:27:00,East
100509,2023-08-29,2023-08-29 12:44:00,South
100510,2023-10-07,2023-10-07 00:44:00,South
100511,2023-10-26,2023-10-26 06:36:00,West
100512,2023-01-23,2023-01-23 06:20:00,North
100513,2023-06-24,2023-06-24 18:48:00,North
100514,2023-04-30,2023-04-30 00:26:00,Central
100515,2023-05-09,2023-05-09 21:39:00,East
100516,2023-12-18,2023-12-18 00:28:00,North
100517,2023-10-30,2023-10-30 14:05:00,Central
100518,2023-06-27,2023-06-27 03:19:00,Central
100519,2023-09-07,2023-09-07 06:37:00,East
100520,2023-06-01,2023-06-01 17:53:00,West
100521,2023-10-20,2023-10-20 09:44:00,South
100522,2023-04-03,2023-04-03 23:18:00,South
100523,2023-01-29,2023-01-29 14:57:00,East
100524,2023-01-11,2023-01-11 20:50:00,North
100525,2023-12-31,2023-12-31 20:04:00,East
100526,2023-02-25,2023-02-25 08:02:00,South
100527,2023-11-18,2023-11-18 13:32:00,Central
100528,2023-11-25,2023-11-25 10:03:00,South
100529,2023-11-09,2023-11-09 13:34:00,West
100530,2023-04-24,2023-04-24 17:42:00,Central
100531,2023-09-03,2023-09-03 03:53:00,South
100532,2023-12-29,2023-12-29 09:14:00,Central
100533,2023-09-02,2023-09-02 03:54:00,South
100534,2023-11-27,2023-11-27 02:31:00,North
100535,2023-05-23,2023-05-23 21:30:00,South
100536,2023-09-10,2023-09-10 10:11:00,Central
100537,2023-12-29,2023-12-29 23:15:00,West
100538,2023-01-15,2023-01-15 16:11:00,Central
100539,2023-12-30,2023-12-30 12:24:00,East
100540,2023-12-28,2023-12-28 22:19:00,West
100541,2023-04-22,2023-04-22 12:06:00,Central
100542,2023-06-12,2023-06-12 21:35:00,North
100543,2023-08-28,2023-08-28 23:06:00,North
100544,2023-04-04,2023-04-04 00:49:00,South
100545,2023-09-01,2023-09-01 20:23:00,South
100546,2023-12-17,2023-12-17 22:10:00,South
100547,2023-08-09,2023-08-09 16:19:00,East
100548,2023-09-12,2023-09-12 20:56:00,Central
100549,2023-06-04,2023-06-04 20:45:00,Central
100550,2023-11-22,2023-11-22 07:55:00,East
100551,2023-03-21,2023-03-21 13:48:00,Central
100552,2023-08-17,2023-08-17 10:05:00,East
